No.,프롬프트
1,"Create a cute golden retriever puppy playing with a ball in a sunny backyard. The puppy should be bouncing around energetically, chasing the ball and occasionally tumbling over in the most adorable way. Show close-up shots of the puppy's expressive eyes and floppy ears. Add upbeat, cheerful music that matches the playful energy. Include text overlay saying ""Pure happiness"" or ""Instant mood booster"" to enhance the feel-good vibes."
2,"Show an attractive woman in workout attire doing yoga poses on a beach at sunset. Focus on graceful movements transitioning between poses like downward dog, warrior pose, and tree pose. The golden hour lighting should create a beautiful silhouette effect. Use calming, meditative background music. Camera angles should capture both the serene ocean backdrop and the elegant flow of movements."
3,"Feature a muscular man performing impressive calisthenics moves in an urban setting. Show him executing human flags, muscle-ups, and handstand push-ups against a city skyline. Emphasize his defined physique and controlled movements. Use high-energy electronic music with strong beats. Add motivational text like ""Push your limits"" or ""Strength unleashed"" with dynamic font effects."
4,"Capture a kitten discovering a cardboard box for the first time. Show the curious kitten cautiously approaching, then diving in and out of the box with pure joy. Include shots of tiny paws peeking over the edges and the kitten's surprised expressions. Use light, whimsical music with piano or acoustic guitar. Add cute text overlays like ""Simple pleasures"" or ""Box > expensive toys."""
5,"Film a beautiful woman applying skincare routine with glowing, dewy skin. Show close-up shots of her gently massaging serums and creams into her face with satisfied expressions. Focus on the luxurious textures of products and her radiant complexion. Use soft, spa-like background music. Include text about ""Skincare goals"" or ""Glow up routine"" with elegant, minimalist fonts."
6,"Show a fit man doing an intense CrossFit workout with heavy weights. Capture him performing deadlifts, burpees, and kettlebell swings with perfect form and determination. Emphasize sweat, muscle definition, and focused facial expressions. Use aggressive, pump-up music with heavy bass. Add motivational text like ""Beast mode activated"" or ""No excuses"" in bold, impactful typography."
7,"Feature an adorable corgi running on a beach with its tongue hanging out and ears flapping in the wind. Show slow-motion shots of the dog's happy expression and bouncing gait. Include scenes of the corgi playing in shallow waves. Use uplifting, summery music. Add cheerful text like ""Beach vibes"" or ""Living the dream"" to complement the carefree atmosphere."
8,"Capture a stunning woman doing a skincare face mask routine in a luxurious bathroom setting. Show her applying different colorful masks with jade rollers and gua sha tools. Focus on her relaxed, pampered expressions and the aesthetic setup with candles and plants. Use tranquil spa music. Include text about ""Self-care Sunday"" or ""Treat yourself"" in elegant script fonts."
9,"Film a ripped athlete performing parkour stunts in an urban environment. Show him jumping between buildings, wall-running, and executing precision jumps with fluid movements. Capture his athletic build and fearless attitude. Use intense electronic music with dramatic builds. Add adrenaline-pumping text like ""Urban warrior"" or ""Defying gravity"" with edgy, modern fonts."
10,"Show a fluffy Persian cat lounging luxuriously on silk cushions in sunlight. Capture the cat's serene expressions, slow blinks, and graceful stretching movements. Focus on the beautiful fur texture and elegant posture. Use classical or ambient music that conveys sophistication. Add text like ""Living in luxury"" or ""Cat royalty"" with refined, elegant typography."
11,"Feature a gorgeous woman with perfect makeup doing a ""get ready with me"" routine. Show close-up shots of eye makeup application, lipstick, and final touches with confident expressions. Emphasize flawless technique and stunning results. Use trendy pop music that's currently viral. Include text like ""Makeup magic"" or ""Flawless finish"" with glamorous, sparkly fonts."
